year,month,hour,author_id
2013,1,19,0
2013,1,19,1
2013,1,14,1
2013,1,22,2
2013,1,17,3
2013,1,23,4
2013,1,20,5
2013,1,14,6
2013,1,10,7
2013,1,20,8
2013,1,21,9
2013,1,18,10
2013,1,23,11
2013,1,23,12
2013,1,21,13
2013,1,20,2
2013,1,18,12
2013,1,17,14
2013,1,18,0
2013,1,7,15
2013,1,5,3
2013,1,15,8
2013,1,21,6
2013,1,22,8
2013,1,14,16
2013,1,21,15
2013,1,10,15
2013,1,23,6
2013,1,23,4
2013,1,13,17
2013,1,15,18
2013,1,13,4
2013,1,18,6
2013,1,22,19
2013,1,18,20
2013,1,23,5
2013,1,11,3
2013,1,13,21
2013,1,22,22
2013,1,18,19
2013,1,17,15
2013,1,17,15
2013,1,6,15
2013,1,8,6
2013,1,7,6
2013,1,15,16
2013,1,22,5
2013,1,21,23
2013,1,19,6
2013,1,16,3
2013,1,15,7
2013,1,16,6
2013,1,16,6
2013,1,17,24
2013,1,20,6
2013,1,14,15
2013,1,20,25
2013,1,20,11
2013,1,14,23
2013,1,21,3
2013,1,22,26
2013,1,22,6
2013,1,22,6
2013,1,22,6
2013,1,22,6
2013,1,22,4
2013,1,18,4
2013,1,16,8
2013,1,6,23
2013,1,11,7
2013,1,5,27
2013,1,13,15
2013,1,18,8
2013,1,20,11
2013,1,8,3
2013,1,19,9
2013,1,18,23
2013,1,7,28
2013,1,23,29
2013,1,2,22
2013,1,0,30
2013,1,1,15
2013,1,3,19
2013,1,0,21
2013,1,0,31
2013,1,2,6
2013,1,4,13
2013,1,0,32
2013,1,0,28
2013,1,1,3
2013,1,1,3
2013,1,16,23
2013,1,0,3
2013,1,14,16
2013,1,16,33
2013,1,22,19
2013,1,16,34
2013,1,19,4
2013,1,20,25
2013,1,19,23
2013,1,23,12
2013,1,19,26
2013,1,21,32
2013,1,20,31
2013,1,23,30
2013,1,18,15
2013,1,22,23
2013,1,1,19
2013,1,18,19
2013,1,5,21
2013,1,15,23
2013,1,21,16
2013,1,8,35
2013,1,15,29
2013,1,8,5
2013,1,19,4
2013,1,15,1
2013,1,22,29
2013,1,4,21
2013,1,1,4
2013,1,5,19
2013,1,1,36
2013,1,14,16
2013,1,19,28
2013,1,13,35
2013,1,9,7
2013,1,20,31
2013,1,17,13
2013,1,20,5
2013,1,16,23
2013,1,18,25
2013,1,16,6
2013,1,21,3
2013,1,22,4
2013,1,9,15
2013,1,23,28
2013,1,19,12
2013,1,22,13
2013,1,20,8
2013,1,21,36
2013,1,17,8
2013,1,17,37
2013,1,14,16
2013,1,20,38
2013,1,1,19
2013,1,22,16
2013,1,6,2
2013,1,0,12
2013,1,7,35
2013,1,22,8
2013,1,14,21
2013,1,13,39
2013,1,17,17
2013,1,12,7
2013,1,17,32
2013,1,0,23
2013,1,23,0
2013,1,6,15
2013,1,16,8
2013,1,17,25
2013,1,18,16
2013,1,16,4
2013,1,15,6
2013,1,17,15
2013,1,3,14
2013,1,7,36
2013,1,6,19
2013,1,18,5
2013,1,15,40
2013,1,2,41
2013,1,10,15
2013,1,23,5
2013,1,15,1
2013,1,17,23
2013,1,23,23
2013,1,16,22
2013,1,16,16
2013,1,14,21
2013,1,1,21
2013,1,22,42
2013,1,22,20
2013,1,21,13
2013,1,15,7
2013,1,21,0
2013,1,17,34
2013,1,9,7
2013,1,15,2
2013,1,17,10
2013,1,20,29
2013,1,22,19
2013,1,1,13
2013,1,11,35
2013,1,0,28
2013,1,23,15
2013,1,5,35
2013,1,18,24
2013,1,13,35
2013,1,1,43
2013,1,2,36
2013,1,19,4
2013,1,17,23
2013,1,17,0
2013,1,23,42
2013,1,18,2
2013,1,9,41
2013,1,19,8
2013,1,18,12
2013,1,1,21
