label,shares
0,593
0,711
1,1500
0,1200
0,505
0,855
0,556
0,891
1,3600
0,710
1,2200
1,1900
0,823
1,10000
0,761
1,1600
1,13600
1,3100
1,5700
1,17100
1,2800
0,598
0,445
1,1500
0,852
0,783
1,1500
1,1800
0,462
0,425
1,3200
1,3900
0,480
0,573
1,3600
0,343
1,7700
1,2600
0,504
1,2100
0,1100
0,401
1,4200
0,1200
1,1500
0,575
0,507
0,1200
0,695
0,1200
1,4900
0,382
0,400
1,4600
1,2400
1,1600
0,1100
0,1300
0,819
0,585
0,536
0,834
0,645
0,598
0,217
1,3200
0,545
1,1800
0,1200
0,732
0,1200
1,2800
0,495
0,690
0,1300
0,552
0,631
1,4800
0,851
0,755
0,468
1,4600
0,1300
0,1200
0,1100
1,1500
1,2400
0,1200
1,1700
0,1200
0,500
0,455
0,1100
0,459
1,1400
1,6400
1,4800
0,695
0,341
1,1900
0,1200
0,450
0,663
0,302
0,971
1,1400
0,1000
1,1900
0,1100
0,1100
1,1500
1,2000
1,5700
1,7100
0,1200
0,705
1,1900
1,3800
1,2300
0,575
1,1800
1,1600
1,1900
1,5600
1,1500
1,9200
1,1700
1,6000
0,752
1,19400
1,1700
1,1600
0,788
0,454
0,1100
1,2800
1,1600
1,2000
0,412
0,1100
0,417
1,1600
1,2500
0,474
1,2100
0,513
1,10400
1,2200
1,5600
0,373
0,1000
1,3200
0,657
1,2100
0,727
0,350
1,1900
0,1200
1,2800
0,341
0,648
0,1300
0,1000
0,1300
1,1700
1,4600
1,2700
1,1700
0,450
0,939
1,1600
0,866
0,606
1,5000
1,11500
0,529
1,28000
1,1700
0,761
0,958
0,904
0,1200
1,4500
0,1200
0,427
0,1300
1,3200
0,377
1,3400
0,972
0,979
0,737
1,3800
0,396
1,1700
0,676
1,2900
1,2500
1,1400
0,484
1,7500
0,441
0,922
0,473
1,3200
1,1600
0,1300
0,1300
1,5600
1,8100
1,5500
1,3800
0,933
1,2500
1,1700
1,2400
1,11400
0,308
1,1400
0,762
0,1200
0,657
0,1200
1,11800
1,2400
0,794
1,1500
0,1300
